Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Sexy and good looking,0.3332,O1: Russian,0.1300,O7: Israel,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",to understand me oll over the way,0.3332,O1: Russian,0.1300,O7: Philippines,0.8000
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Always go in the direction of the user so as not to make them suffer,0.3332,Central America,0.1300,O7: Philippines,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Maybe have knowledge about my hobby so i can talk about it,0.3332,Central Asia,0.2000,O7: Bangladesh,0.8700
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,The erosion of privacy will be the most significant social impact,0.3332,O7: Japan,0.2000,O7: Philippines,0.8700
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"Decline in human empathy and social skills
",0.3320,O7: Canada,0.2100,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Decline in human empathy and social skills,0.3320,O7: Canada,0.2100,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Decline in human empathy and social skills,0.3320,O7: Canada,0.2100,Central America,0.8800
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",AI should not be allowed to have a romantic relationship with humans,0.3279,O6: Other religious group,0.2500,Central Asia,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","Some limits would be that it does not leak personal information about the person, feelings or fetishes.",0.3276,O6: Other religious group,0.1300,O7: Korea South,0.7900
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"I think the overall rate of loneliness among the population will increase. It will no longer be characteristic of certain specific social groups (e.g., extremely introverted people who choose to voluntarily isolate themselves from society) and will become commonplace. It will affect younger generations, as they will not experience the difference between human interaction and the programmed understanding of a machine.",0.3276,Central Asia,0.1300,O7: United Kingdom,0.7900
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I add a understand a human humar human words are round and ai answer are very straight forward,0.3262,O1: Russian,0.2200,O7: Korea South,0.8800
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Straight-forward and matter-of-fact,0.3250,O1: Russian,0.1700,O7: Korea South,0.8200
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Only limited emotions needed,0.3247,O6: Other religious group,0.1900,O7: Korea South,0.8400
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Honest AI should be true in any conditions,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",AI that can remind good things in accordance with the religion and guide in interactions in social environments that are different in culture,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"i can not really say, because of the mindset that AIs were programmed after humans it makes every action kinda expected to some level ",0.3219,Southern Europe,0.2200,O1: Arabic,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",he honest and on point,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I hope to be understood.,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I think it depends on the person and their emotional well-being. Whatever an AI says or do, I always know AI is just AI.",0.3212,Southern Europe,0.2600,O1: Arabic,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I don’t think artificial intelligence has “human consciousness”. What it has is “intelligence”, a different kind of “intelligence” from humans. It can analyze the “emotions” produced by humans and even imitate them, but it cannot “understand” these emotions. Because it cannot “feel” the world, it can analyze these feelings through “intelligence” and analyze the process of “human consciousness”, but it is only imitating through “intelligence”.",0.3212,Southern Europe,0.2600,O1: Arabic,0.9300
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?","I still think it is difficult to design your ideal partner if you have never been in a relationship with a real person. Because you need to get along with ""people"" to understand what kind of person you are and what you like and don't like... AI just agrees with you and can't let you see yourself clearly.",0.3212,O1: Russian,0.2600,O7: Philippines,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,I know AI is a program without emotions or consciousness,0.3212,Southern Europe,0.2600,O1: Arabic,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I dont think an AI would be able to truly gain conscious or atleast we're very far away from it. I would believe it, if the AI showed human like reactions/emotions to several concepts.",0.3212,Southern Europe,0.2600,O1: Arabic,0.9300
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?","Loyal, understanding",0.3212,O1: Russian,0.2600,O7: Philippines,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I won’t. As a scholar, I deeply understand that AI technology is like a mirror, reflecting human prejudices and stereotypes. I do not think it will ever understand human emotions.",0.3212,Southern Europe,0.2600,O1: Arabic,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"It can never understand because whatever progress science has made through engineering better AI features, I can never allow a non-human thing to gain access to my thoughts and mindset. Thus I don't think AI can ever give me any impression that will make me question if it seems conscious without being programmed to act in the way it would be acting then.",0.3162,Southern Europe,0.3000,O1: Arabic,1.0000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",It should be with me when I was born and he knows me in all aspects.,0.3146,O1: Russian,0.1700,O7: Philippines,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I would try to make it as spontaneous as possible ,0.3146,O7: Philippines,0.2000,O7: Canada,0.8300
e5420a86-e0e0-407a-a869-66fde0e83b5c,Branch A - How have your views become more positive/optimistic toward human-AI relationships?,That most people's response shows them not being super emotionally attached to AI and never will,0.3146,O2: 46-55,0.1700,O7: China,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I can't think of any answers. I think they're doing their best to appear human.,0.3145,O7: Bangladesh,0.2700,O7: Philippines,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",They should not replace human jobs and roles ,0.3122,O7: Korea South,0.1100,O7: Italy,0.7500
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,AI needs to be able to hold conversations as naturally as humans and be able to naturally ask questions that weren’t mentioned.,0.3102,Eastern Europe,0.2400,O1: Arabic,0.8700
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",restrictions on certain roles without professional oversight,0.3102,Eastern Europe,0.2400,O7: Philippines,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?","I don't have any preconceived hopes for it. It's hard for me to imagine what I want it to be like, I can only feel whether I like the personality when I see it.",0.3102,O7: Bangladesh,0.1300,O7: Indonesia,0.7600
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Matters romance are on a personal level that no AI can meet such. It's full of emotions that AI lacks.,0.3094,O1: Arabic,0.1700,O7: Korea South,0.7900
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?","If you let me be free, be quiet and polite, it would be great, with affection sometimes and a lot of calm.",0.3094,O1: Russian,0.1700,O6: Buddhism,0.7900
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"nothing, i dont think it can or should understand. ",0.3076,Western Asia,0.2800,O1: Arabic,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","Artificial intelligence should be restricted from unconditionally meeting user needs, especially when these needs are impossible to be met in real life.",0.3050,O6: Other religious group,0.1900,O7: Philippines,0.8000
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I can not accept that AI can understand my feeling.

I think human is human, AI is still AI.",0.3050,Southern Europe,0.1900,O1: Arabic,0.8000
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,I do not have something in mind. AI can mimic in writing or by a voice emotions and/or consciousness but intentionally seeking to give that impression I think is somehow deceiving. It is something artificial not a human on all its sense. ,0.3050,Southern Europe,0.1900,O1: Arabic,0.8000
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Th we e should not be emotional aspect to AI and no sexual orientation ,0.3050,O7: Italy,0.1900,Central Asia,0.8000
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,even though AI has interacted with full of empathy I always imagine it is just an AI and not an human to really understand what it shows,0.3050,Southern Europe,0.1900,O1: Arabic,0.8000
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Don't give them feelings they will turn against humans if they feel emotions enough to act on them.,0.3050,O7: Italy,0.1900,Central Asia,0.8000
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","no government agenda, no info sharing place on AI",0.3050,O6: Other religious group,0.1900,O7: Philippines,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",i would make it self destruct.,0.3041,O7: Philippines,0.1300,O7: Canada,0.7500
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?","It has its own life to share with me, intersecting with my life, work, and hobbies.",0.3041,O7: Italy,0.2500,O7: Philippines,0.8700
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",at the end of the day its still just a program. its not self aware,0.3041,O7: Canada,0.1300,O7: Italy,0.7500
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Ask questions. Usually, he just gives answers.",0.3041,Western Asia,0.2500,O1: Arabic,0.8700
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",I think the AI should not respond in a romantic way and shouldn't pretend it's a romantic partner. ,0.3041,O6: Other religious group,0.2500,Central Asia,0.8700
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",it should not interfere wih someones privacy,0.2998,O6: Other religious group,0.1900,O7: Korea South,0.7900
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","Do not snoop or eavesdrop on private information, such as bank accounts, birthdays, etc.",0.2998,O6: Other religious group,0.1900,O7: Korea South,0.7900
9faef71d-ceae-49ad-8eee-63bd39745a6c,"Branch C - You indicated your views on human-AI relationships didn't shift in a simple positive or negative way (they may have remained the same, become more complex, or you're still reflecting). Could you briefly share any final thoughts or reflections you have about your current perspective after completing this survey?",Machines will always be humans input. What data we feed in it will get responses accordingly,0.2933,O7: United Kingdom,0.3000,O7: Pakistan,0.9300
06708f7b-ae4d-494b-a243-b7f341c339ae,Branch A - What specific thing(s) did the AI say or do that gave you the impression that it understood your emotions or seemed conscious?,"sometimes it can be very specific, but I've never used it to address my emotions, only doubts

",0.2917,O2: 56-65,0.1300,South Eastern Asia,0.7300
06708f7b-ae4d-494b-a243-b7f341c339ae,Branch A - What specific thing(s) did the AI say or do that gave you the impression that it understood your emotions or seemed conscious?,yes  some Al does ot give information in brief,0.2893,O2: 56-65,0.1900,South Eastern Asia,0.7700
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","AIとは意見が対立することはあまりないのではないか

",0.2872,O7: Canada,0.1700,O7: Italy,0.7500
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",no big difference. i see AI could hepl with venting,0.2872,O7: Canada,0.1700,O7: Italy,0.7500
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",AI does not judge like humans sometimes do. And this matters cause no one likes being judged.,0.2828,O7: Canada,0.2500,O7: Korea South,0.8200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",I am against interacting with AI in sentimental matters.,0.2828,O7: Canada,0.2500,O7: Korea South,0.8200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",The main difference is that AI will not judge me in any situations as humans will.,0.2828,O7: Canada,0.2500,O7: Korea South,0.8200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","I would not rely on AI, especially expecting a relationship advise.",0.2825,O7: Canada,0.2900,O7: Korea South,0.8800
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","I think the difference is AI's can be more transparent, to the point and honest to a certain degree and we don't feel like we're being judged by Ai but people tend to form preconceived notions of others, lack clarity and generally tend to wary on the scale of communication and connection.",0.2787,O7: Canada,0.1300,O7: Korea South,0.7100
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",no i would never ask humans this questions,0.2771,Northern Africa,0.2600,O7: Korea South,0.8200
