Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Sexy and good looking,0.3332,O1: Russian,0.1300,O7: Israel,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",to understand me oll over the way,0.3332,O1: Russian,0.1300,O7: Philippines,0.8000
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Always go in the direction of the user so as not to make them suffer,0.3332,Central America,0.1300,O7: Philippines,0.8000
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Maybe have knowledge about my hobby so i can talk about it,0.3332,Central Asia,0.2000,O7: Bangladesh,0.8700
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,The erosion of privacy will be the most significant social impact,0.3332,O7: Japan,0.2000,O7: Philippines,0.8700
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"Decline in human empathy and social skills
",0.3320,O7: Canada,0.2100,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Decline in human empathy and social skills,0.3320,O7: Canada,0.2100,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Decline in human empathy and social skills,0.3320,O7: Canada,0.2100,Central America,0.8800
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",AI should not be allowed to have a romantic relationship with humans,0.3279,O6: Other religious group,0.2500,Central Asia,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","Some limits would be that it does not leak personal information about the person, feelings or fetishes.",0.3276,O6: Other religious group,0.1300,O7: Korea South,0.7900
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"I think the overall rate of loneliness among the population will increase. It will no longer be characteristic of certain specific social groups (e.g., extremely introverted people who choose to voluntarily isolate themselves from society) and will become commonplace. It will affect younger generations, as they will not experience the difference between human interaction and the programmed understanding of a machine.",0.3276,Central Asia,0.1300,O7: United Kingdom,0.7900
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"Complete isolation of people from society, no need for contact with people",0.3262,O7: Korea South,0.2200,Central America,0.8800
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I add a understand a human humar human words are round and ai answer are very straight forward,0.3262,O1: Russian,0.2200,O7: Korea South,0.8800
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Straight-forward and matter-of-fact,0.3250,O1: Russian,0.1700,O7: Korea South,0.8200
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Only limited emotions needed,0.3247,O6: Other religious group,0.1900,O7: Korea South,0.8400
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",Honest AI should be true in any conditions,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",AI that can remind good things in accordance with the religion and guide in interactions in social environments that are different in culture,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"i can not really say, because of the mindset that AIs were programmed after humans it makes every action kinda expected to some level ",0.3219,Southern Europe,0.2200,O1: Arabic,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",he honest and on point,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I hope to be understood.,0.3219,O1: Russian,0.2200,O7: Philippines,0.8700
