Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Branch A,Branch B,Branch C,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"I didn't consider as much before that AI could be used for emotional support (so when people are most vulnerable) and that although I still support the use of AI, I think it is important to set limits, especially on relational AIs.",0.5300,,,0.6000,0.5900,,0.6700,,,,,0.5900,,0.8900,,,,,0.6600,0.6200,,,,0.6900,0.6700,,0.6800,0.6800,0.7200,,0.6200,,0.6800,0.6700,0.7600,0.5300,,,,,0.5500,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"This survey has made me reflect deeply on the potential impacts of AI on human connections. I've become more concerned about how AI companions might create artificial emotional experiences that could replace genuine human interaction. While I recognize AI's educational benefits, I worry about the development of emotional dependency, especially for vulnerable populations like children and lonely adults.",0.5300,,,0.6000,0.6000,,0.6600,,,,,0.6400,,0.8300,,,,,0.6600,0.5900,,,,0.6700,0.6500,,0.6500,0.6600,0.7000,,0.6200,,0.5900,0.6000,0.7800,0.5300,,,,,0.5500,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"I’ve become more cautious because it’s easy to get attached and blur the line between real and artificial connection, which can mess with emotional well-being.",0.5300,,,0.6000,0.5900,,0.6600,,,,,0.5500,,0.8300,,,,,0.6300,0.5700,,,,0.6900,0.6300,,0.6800,0.6600,0.7100,,0.6400,,0.6800,0.6700,0.7100,0.5300,,,,,0.5900,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"I had no idea so many people were using AI features like emotional companionship, and I find this feature scary, even if it operates under strict regulations.",0.5300,,,0.5500,0.6200,,0.6500,,,,,0.5900,,0.7800,,,,,0.6900,0.5700,,,,0.6700,0.6300,,0.6100,0.6700,0.6800,,0.5900,,0.5300,0.8000,0.7300,0.5300,,,,,0.6400,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"I just realized that complete emotional dependence on AI is actually a real possibility, and this might affect genuine human interactions (supply and demand not quality)",0.5300,,,0.5500,0.6000,,0.6400,,,,,0.6400,,0.7200,,,,,0.6300,0.5700,,,,0.6900,0.6000,,0.6100,0.6500,0.6500,,0.6200,,0.6200,0.6700,0.7100,0.5300,,,,,0.5500,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,In future AI will hamper relationship between partners and friends. People will be more depending on emotional needs on AI rather than real human beings. ,0.5300,,,0.5500,0.5900,,0.6200,,,,,0.5900,,0.7800,,,,,0.6000,0.5600,,,,0.6600,0.6000,,0.5500,0.6500,0.6700,,0.5600,,0.5600,0.6700,0.7100,0.5300,,,,,0.5500,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,Regarding dependency and other negative impacts that AI can have on interpersonal relationships.,0.5200,,,0.6000,0.5700,,0.6100,,,,,0.5900,,0.7800,,,,,0.6000,0.5200,,,,0.6100,0.6300,,0.5500,0.6500,0.6400,,0.5900,,0.5900,0.6700,0.6800,0.5300,,,,,0.5500,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,I have been using AI regularly. Doing this survey actually helped me introspect due to which I later found and came to conclusion that I am also becoming two much dependent on AI. For eg. not reaching to an actual friend during an mental health crisis but talking to an AI is a classic example of decrease in social activity due to AI ,0.5200,,,0.5500,0.5700,,0.6100,,,,,0.5500,,0.7800,,,,,0.6300,0.5200,,,,0.6100,0.6300,,0.5800,0.6400,0.6200,,0.5900,,0.5600,0.7300,0.6800,0.5300,,,,,0.5900,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"I used to believe it was healthy to ask AI for advice, but I realized that there are people who go too far and depend entirely on it to have any connection and replace social connections, so I've become a little more cautious.",0.5200,,,0.5500,0.5700,,0.6100,,,,,0.5900,,0.7800,,,,,0.6300,0.5200,,,,0.6400,0.6000,,0.5800,0.6400,0.6400,,0.5900,,0.5600,0.6700,0.7100,0.5300,,,,,0.5500,,,
087c73f7-a163-4146-b988-a7c0dbad188e,Branch B - How have your views become more negative/cautious toward human-AI relationships?,"Seeing that people could become over-dependent on AI, it makes me reconsider that how AI should be used as a companion",0.5000,,,0.5500,0.5900,,0.6100,,,,,0.6400,,0.6100,,,,,0.6000,0.5600,,,,0.6700,0.5600,,0.6100,0.6200,0.6400,,0.5900,,0.5900,0.6000,0.6800,0.5300,,,,,0.5000,,,
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","It will make us depend on a machine who actually have no human connection but because of data feed by engineers , it would make us feel like we are talking to human.",0.6800,0.7300,0.7200,0.7200,0.7400,,,,0.7500,0.7300,0.6900,0.7000,0.7400,0.7100,0.7200,0.7100,0.7900,0.7100,0.7400,0.7300,0.7200,0.7300,0.7400,0.7600,0.7000,0.6800,0.7400,0.7300,0.7300,0.7800,0.7200,0.7200,0.7100,0.7800,0.7300,0.7200,0.7100,0.9400,0.7500,0.7200,0.7600,0.7000,0.8000,0.6900
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",There is a difference and the relationship with a real person is completely different,0.6700,0.7900,0.7700,0.7300,0.7500,,,,0.7500,0.6700,0.7200,0.7000,0.6800,0.7400,0.7900,0.7600,0.8200,0.7900,0.7500,0.7400,0.7500,0.8000,0.7700,0.7900,0.7200,0.7400,0.7700,0.7400,0.7500,0.8300,0.7300,0.6700,0.7500,0.7600,0.7400,0.8000,0.7600,0.7500,0.8100,0.7500,0.7700,0.7300,0.8200,0.7800
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",the biggest difference would be that you're a programmed machine and the other is a human with real experienced life and personality,0.6700,0.7500,0.7700,0.7500,0.7400,,,,0.8100,0.8000,0.7500,0.6800,0.7600,0.7500,0.7300,0.7100,0.7400,0.7100,0.7300,0.7700,0.7300,0.7400,0.7900,0.7800,0.7200,0.7100,0.7800,0.7400,0.7500,0.8300,0.7200,0.6700,0.7400,0.7500,0.7200,0.8100,0.7600,0.8800,0.8200,0.7400,0.7500,0.8200,0.8600,0.7200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",I cannot compare and I find this question odd. How can and AI understand feelings better human beings are human beings in machines are machines period,0.6600,0.7600,0.7700,0.8200,0.7800,,,,0.7500,0.8000,0.8100,0.7500,0.7100,0.7100,0.8000,0.6600,0.8500,0.8100,0.7700,0.8000,0.7800,0.7500,0.7900,0.8200,0.7500,0.7700,0.8200,0.7700,0.7900,0.7700,0.7600,0.7700,0.7900,0.7900,0.7500,0.8100,0.7600,0.8800,0.8400,0.7500,0.7800,0.7600,0.8400,0.7200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","The difference is that the interpersonal relationship I establish with artificial intelligence will not be a real human emotional relationship, because in my understanding, even if artificial intelligence is anthropomorphic, it is still a tool.",0.6600,0.7600,0.7900,0.8200,0.7700,,,,0.7500,0.8000,0.8200,0.7000,0.6800,0.7000,0.8100,0.6600,0.8200,0.8200,0.8000,0.7800,0.7600,0.7500,0.7900,0.8100,0.7500,0.7700,0.8100,0.7600,0.8100,0.7700,0.7400,0.7700,0.7900,0.8000,0.7300,0.8100,0.8800,0.8800,0.8200,0.7800,0.7900,0.7000,0.8600,0.7800
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",I don't think AI can ever develop empathy and awareness as humans. So there will always be a huge difference between relationships with a human and an AI.,0.6600,0.7500,0.8100,0.8000,0.7600,,,,0.7500,0.8000,0.8100,0.7000,0.7100,0.7100,0.7900,0.6600,0.8200,0.8000,0.7900,0.7700,0.7700,0.7200,0.8100,0.8100,0.7400,0.7400,0.8100,0.7600,0.7900,0.7900,0.7300,0.7700,0.7900,0.7900,0.7300,0.7900,0.8800,0.8800,0.8500,0.7700,0.7800,0.7000,0.8400,0.7800
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",The AI so far is just virtual. Humans have physical presence so the difference is obvious.,0.6600,0.7800,0.8300,0.7800,0.7500,,,,0.8100,0.8000,0.7700,0.7400,0.7100,0.6900,0.8100,0.6800,0.8200,0.8100,0.7500,0.7500,0.7600,0.7500,0.8400,0.8000,0.7300,0.7900,0.7800,0.7400,0.7800,0.7600,0.7300,0.6700,0.7700,0.7900,0.7500,0.7400,0.7600,0.9400,0.8100,0.6900,0.7600,0.7000,0.8200,0.6600
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","My relationships with real humans are natural, and I feel it will never be replaced by technology. ",0.6600,0.7200,0.7000,0.7600,0.7500,,,,0.7500,0.8700,0.7500,0.6800,0.6800,0.6800,0.7900,0.6600,0.7900,0.8000,0.7700,0.7500,0.7700,0.7300,0.7000,0.8100,0.7100,0.7400,0.7700,0.7500,0.7700,0.8000,0.7200,0.7400,0.7600,0.8000,0.7300,0.7800,0.7600,0.7500,0.8200,0.7500,0.7800,0.6700,0.8400,0.7200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",AI is man made. Man is not perfect. Human are created by the God,0.6600,0.7400,0.8100,0.7300,0.7400,,,,0.8800,0.8000,0.7200,0.6600,0.7900,0.7000,0.7900,0.6800,0.7900,0.7800,0.7500,0.7200,0.7800,0.7100,0.8400,0.7800,0.7100,0.7200,0.7600,0.7400,0.7600,0.7800,0.7000,0.6900,0.7400,0.7900,0.7100,0.7600,0.8200,0.8800,0.7600,0.7300,0.7700,0.6700,0.8200,0.6600
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",An AI can never replace human interaction.,0.6600,0.7300,0.8300,0.7000,0.7300,,,,0.9400,0.8000,0.6900,0.6600,0.8500,0.7300,0.8000,0.6600,0.7600,0.7800,0.7600,0.7100,0.7700,0.6900,0.8600,0.7800,0.7100,0.7200,0.7700,0.7300,0.7600,0.8000,0.6900,0.7400,0.7400,0.7500,0.7100,0.7500,0.8800,0.9400,0.8100,0.7300,0.7400,0.7000,0.8200,0.7200
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Nothing, as I know how AI works.",0.4800,0.5600,0.7300,0.6800,0.5700,,0.5700,,,,0.5600,0.5700,0.6000,0.5500,0.5800,0.5500,0.8300,0.6200,0.5600,0.6200,0.4900,0.4800,0.7800,0.5700,0.5800,0.5200,0.6100,0.5600,0.6000,0.5600,0.5300,0.7200,0.5700,0.5800,0.5400,0.6300,,,0.5500,0.5900,0.5600,0.5200,0.5000,0.5200
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Nothing, because it's a machine and will NEVER understand anything.  ",0.4700,0.5900,0.7300,0.7000,0.5700,,0.5800,,,,0.5600,0.5800,0.6000,0.5600,0.5800,0.6200,0.8800,0.6200,0.5400,0.6400,0.4700,0.5200,0.7800,0.5900,0.5700,0.5600,0.6100,0.5600,0.6000,0.5400,0.5500,0.6600,0.5800,0.5400,0.5600,0.6500,,,0.4800,0.5700,0.5600,0.5600,0.5000,0.4800
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"nothing, I would not trust AI",0.4700,0.6000,0.7300,0.7100,0.5700,,0.5700,,,,0.6500,0.5800,0.5200,0.5100,0.5900,0.5200,0.7500,0.6400,0.5300,0.6300,0.4700,0.5400,0.7400,0.6200,0.5300,0.5600,0.6100,0.5600,0.5900,0.5300,0.5500,0.6600,0.5700,0.5200,0.5600,0.6100,,,0.4800,0.4800,0.5500,0.4800,0.6600,0.5200
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Nothing, at the end of the day it's a machine.",0.4500,0.5500,0.5700,0.6500,0.5500,,0.5600,,,,0.5300,0.5200,0.5600,0.5700,0.5700,0.6900,0.7900,0.5800,0.5400,0.6200,0.4700,0.5400,0.5900,0.5900,0.5400,0.5000,0.5900,0.5600,0.5800,0.5000,0.5600,0.6200,0.5400,0.5400,0.5600,0.6400,,,0.4500,0.5900,0.5600,0.5200,0.5000,0.5200
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I just know he is fake, so I may not trust him, fake is fake",0.4500,0.5300,0.5700,0.6300,0.5200,,0.5400,,,,0.5900,0.4800,0.5200,0.5400,0.5800,0.5500,0.6300,0.6400,0.5600,0.5500,0.4700,0.5100,0.5600,0.5500,0.5300,0.5800,0.5800,0.5100,0.5300,0.4900,0.5600,0.5500,0.5200,0.5900,0.5000,0.5900,,,0.4500,0.4800,0.5500,0.5200,0.5300,0.5600
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,When the various possibilities he proposed were far from the conclusions that could be drawn from data analysis,0.4500,0.5100,0.6000,0.6000,0.5300,,0.5300,,,,0.5000,0.5100,0.5600,0.5000,0.5100,0.4500,0.7100,0.5800,0.5200,0.5500,0.5000,0.4600,0.5600,0.5000,0.5500,0.5800,0.5300,0.5200,0.5500,0.4500,0.5200,0.5200,0.5200,0.5700,0.5200,0.5500,,,0.5300,0.5000,0.5400,0.5200,0.4700,0.4800
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Nothing, AI shouldn't do that.",0.4400,0.5900,0.6700,0.6500,0.5700,,0.5700,,,,0.5900,0.6000,0.4800,0.5100,0.6100,0.6200,0.7500,0.6400,0.5000,0.6500,0.4500,0.5600,0.6700,0.6000,0.5400,0.4800,0.5700,0.5800,0.6000,0.4900,0.5500,0.6200,0.5600,0.5900,0.5600,0.5800,,,0.4500,0.5000,0.5700,0.4400,0.5600,0.4800
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Nothing, ITS A MACHINE IT CANT UNDERSTAND HUMANS GENUINELY ",0.4400,0.5700,0.6700,0.6200,0.5900,,0.5700,,,,0.5300,0.5700,0.4400,0.5400,0.5500,0.6900,0.7100,0.5900,0.5300,0.6100,0.5200,0.5200,0.7000,0.5800,0.5600,0.5400,0.6000,0.5600,0.6000,0.5100,0.5500,0.6900,0.5800,0.6200,0.5400,0.5800,,,0.5000,0.5900,0.6000,0.5600,0.4700,0.4400
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Basically nothing, because AI is just a tools based on data.",0.4400,0.5800,0.6700,0.7000,0.5700,,0.5700,,,,0.6200,0.5800,0.4800,0.5200,0.5800,0.6600,0.8300,0.6200,0.5400,0.6100,0.4900,0.5400,0.7000,0.5600,0.5700,0.4400,0.6000,0.5700,0.5900,0.5400,0.5400,0.6900,0.5800,0.5700,0.5600,0.5900,,,0.5300,0.6100,0.5600,0.4400,0.4400,0.4800
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,AI is just a collection of data not a person,0.4400,0.6200,0.7000,0.6000,0.5700,,0.5600,,,,0.4700,0.5800,0.4400,0.5000,0.6100,0.6600,0.7500,0.6500,0.5200,0.6100,0.4900,0.5700,0.7000,0.5800,0.5500,0.5000,0.5800,0.5600,0.5700,0.5400,0.5700,0.6900,0.5500,0.5600,0.5700,0.5900,,,0.5800,0.5700,0.5500,0.4400,0.5000,0.4400
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",It is bad enough when people think life should be like what they see in the movies or on social media and having an Ai reinforce the idea that they can have this level of perfection in a relationship is more damaging to the person involved and anyone that is in their lives,0.4800,0.5000,0.4900,0.5300,0.5300,,,,0.5600,0.7300,0.5300,0.4900,0.5600,0.5600,0.5400,0.6100,0.5300,0.5400,0.5100,0.5500,0.5300,0.5000,0.4900,0.5400,0.5200,0.5800,0.5400,0.5200,0.5200,0.5500,0.5300,0.6400,0.5200,0.5000,0.5300,0.5400,0.5900,0.5000,0.4800,0.4900,0.5300,0.5000,0.6100,0.5900
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","The ai should help you, if you are lacking somebody because of a relationship or lack of friends but i definitely dont think people should aim for getting an AI friend or partner only. The ai should help them at most to get one and not to substitute one forever - its unhealthy",0.4700,0.4800,0.4700,0.5000,0.5200,,,,0.5000,0.6700,0.4800,0.4700,0.5300,0.6000,0.5200,0.6600,0.5900,0.5200,0.5200,0.5400,0.5200,0.4900,0.4900,0.5300,0.5100,0.6700,0.5300,0.5000,0.5200,0.5000,0.5300,0.5100,0.5300,0.4900,0.5300,0.5200,0.5900,0.5600,0.5100,0.5000,0.5300,0.6800,0.5900,0.5300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","Ai systems can act as a therapist for people who suffer from extreme lonliness or other emotional disorders, AI can definitely be helpful in reducing stress and ensuring mental well being in this case.. But if AI systems act a partner for humans then definitely there should be a limit because AI companions wont be able to replicate true emotions and will definitely cause humans (who use it) to live in a dilemma and it could lead to some mental disorders too",0.4500,0.4600,0.4500,0.5100,0.5400,,,,0.6900,0.6700,0.5300,0.5500,0.4700,0.5400,0.6000,0.6600,0.4700,0.5900,0.5300,0.5900,0.5300,0.4700,0.4700,0.5500,0.5400,0.5600,0.5300,0.5500,0.5500,0.6100,0.5300,0.6900,0.5500,0.5200,0.5600,0.5100,0.5900,0.5000,0.6000,0.5400,0.5100,0.5600,0.6400,0.4700
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",It should be limited to only for elderly people. Younger generation have energy and time to invest in human relationships. ,0.4500,0.5500,0.5300,0.5600,0.5100,,,,0.5600,0.6700,0.5800,0.5000,0.5300,0.5600,0.5900,0.7100,0.5300,0.5900,0.5300,0.5300,0.5400,0.5500,0.5300,0.5600,0.5100,0.5100,0.5600,0.5300,0.5500,0.6300,0.4800,0.5900,0.5600,0.4700,0.5300,0.5200,0.5300,0.5000,0.4500,0.4900,0.5000,0.4700,0.6400,0.5300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","To help sad people, help the elderly with tasks, be a good advisor.",0.4400,0.5300,0.4700,0.5600,0.5000,,,,0.4400,0.4700,0.5700,0.5300,0.5300,0.6100,0.5900,0.7100,0.5600,0.6100,0.5200,0.5400,0.5800,0.5600,0.4900,0.5600,0.5300,0.5400,0.5500,0.5300,0.5300,0.6000,0.5400,0.6900,0.5900,0.4600,0.5300,0.4900,0.5300,0.5600,0.5200,0.5400,0.4600,0.6200,0.6100,0.5600
