Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
52b58b4b-0354-4109-8ad1-e0939cb78ab1,AI has simplified so many things in my recent life. I find that most of the things that used to take so much time has been solved by AI and it is now taking a short span of time and the accuracy is a bit better than it used to be.  Calculations and solving problems that used to take a toil on me nowadays have been simplified and easy to tackle.,Positive,Faster and easier access to information,Improved decision-making and problem-solving,Increased efficiency and productivity,Reduced stress and workload,,,,,
c2a2b09b-89e1-446d-bf0c-ff68eced173f,"AI has streamlined my workflow, improved communication, enhanced content creation, and provided faster access to information and personalized recommendations daily.",Positive,Content creation and idea generation,Faster and easier access to information,"Improved writing, editing, and communication",Increased efficiency and productivity,Personalized recommendations and advice,,,,
194f8f0b-3385-4693-8c65-912c9a7e8aa8,AI helped me mostly emotionally and it really was like emotional support for me,Positive,Emotional support and companionship from AI,,,,,,,,
c7c1c764-4669-49a3-8a36-ec37a4546100,AI helps in daily tasks and speed my workflow,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
7bc7364f-033a-4a7e-a94f-70e388957049,AI helps me refine my tasks. Before AI I was so vague in my mind. Now I have a strategy to align my goals ,Neutral,Enhanced learning and study support,Improved decision-making and problem-solving,Increased efficiency and productivity,,,,,,
607ae52f-1800-4251-a64c-0ea058670e66,AI helps with work and makes some tasks easier for me,Positive,Automation of repetitive and mundane tasks,Increased efficiency and productivity,,,,,,,
0ee631df-de76-42fa-a188-273051f655d4,"AI is basically my grammar check and writing tutor at this point. In many cases when I do not know the answer to something, I immediately think to ask AI about it.",Neutral,Enhanced learning and study support,Faster and easier access to information,"Improved writing, editing, and communication",,,,,,
46b59e4b-6605-4223-9f36-7ac59b830bb6,AI is now becoming more complex and can do more things like creating or editing videos and making it easier for us to find answers in search engines and giving us Ease of getting ideas,Positive,Content creation and idea generation,Faster and easier access to information,Increased use and normalization of AI in daily life,,,,,,
b149cea4-4b22-46c9-9009-04eb0b846cde,AI made my life easy and efficient and there is no more burden in my mind to do so many task at particular time .,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,Reduced stress and workload,,,,,,
092a7ca5-b93c-4900-8880-b9533b5a4e52,AI makes it easy for me to work and gives me new ideas,Positive,Content creation and idea generation,Increased efficiency and productivity,Increased use and normalization of AI in daily life,,,,,,
7f9aeba3-01b4-4bbc-aa08-4e0e74fdf634,"AI makes my life easy such as planning for shopping or going to restaurant, I mean daily activities",Positive,Convenience in daily life and routine tasks,Personal organization and time management,,,,,,,
af68d141-15e4-4d2e-ab27-fe890fd48fe9,"AI models allow me to generate content such as images and text quickly, help me find information on a given topic and solve and automate some processes at work",Positive,Automation of repetitive and mundane tasks,Content creation and idea generation,Convenience in daily life and routine tasks,Faster and easier access to information,Increased efficiency and productivity,,,,
d532cc33-d0eb-4427-9d47-331c6ccc9fae,"AI provides real-time predictions of traffic lights and the flow of cars on the road, as well as support for online shopping.",Positive,AI integration in smart devices and home automation,Convenience in daily life and routine tasks,Faster and easier access to information,Personalized recommendations and advice,,,,,
3139bbb1-b00f-4756-ae48-d92d62137ed7,AI replacing human for some task,Neutral,Job displacement and employment concerns,,,,,,,,
9eb39e2f-15d2-461d-a926-4c7f99a42022,"AI saved my time a lot when I learning something, researching specific topic, and translating other languages.",Positive,Enhanced learning and study support,Increased efficiency and productivity,Language translation and language learning,,,,,,
434c37c5-4976-41e9-8074-9d5087f25090,AI systems have become noticeably faster ,Positive,Increased efficiency and productivity,,,,,,,,
04b59b26-6a3f-42a0-958c-ab9e48119bbb,AI virtual assistants are now being used to offer services to customers during online purchases,Neutral,AI-powered customer service and chatbots,,,,,,,,
fe72803a-082f-45e2-ac4e-4c466db474c8,"AI-generated posts permeating social media, and not being able to trust content right away",Negative,Changes in social media and online content,Concerns about misinformation and AI-generated content,,,,,,,
d02c2507-4c87-4687-99f5-1404a5a0b8b6,AI-powered home energy management has enabled me to save a lot by lowering my utility bills for example my smart thermostat which optimally adjusts ending up saving a lot of energy.,Positive,AI integration in smart devices and home automation,Convenience in daily life and routine tasks,Financial and investment assistance,,,,,,
0847e8db-1cb8-4835-a181-a0cc4d3e3477,Able to get the daily news (glossary) with out reading al the articles. Getting the guidance on services and products,Neutral,Convenience in daily life and routine tasks,Faster and easier access to information,Personalized recommendations and advice,,,,,,
ef76e97d-f3d3-462f-90e8-593976a188a3,Able to give Accurate Data,Positive,Improved decision-making and problem-solving,,,,,,,,
e1930793-2b6e-4d02-837a-d9a33eb60d35,"Absolutely, my life is easier and psychologically I am becoming a more enthusiastic and motivated person. ",Positive,Greater confidence and independence,Increased efficiency and productivity,Reduced stress and workload,,,,,,
525d3f7b-68de-487b-8cf8-f0813b6ee3f3,Access to extensive and properly organized information about specific issues ,Neutral,Changes in research and knowledge discovery methods,Faster and easier access to information,,,,,,,
993c15cd-a236-4713-b647-2f6ab1a05a08,"Access to information has become much easier, although caution must be exercised regarding the source of that information.

",Neutral,Concerns about misinformation and AI-generated content,Faster and easier access to information,,,,,,,
6c4bfa6d-24c4-4a8a-aa56-9de718ebf53a,Access to updated information and immediate data cross-referencing that was not available before.,Neutral,Faster and easier access to information,,,,,,,,
a3470ad2-6f37-4afb-894b-70c0da59eca4,Achieve daily tasks with the help of AI,Neutral,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
a6f09667-8fa5-4aff-89b1-fd2d1892af9d,Achieving faster result,Neutral,Increased efficiency and productivity,,,,,,,,
600fd3f8-c79b-4af3-87d6-ede22ba4385c,Agility in decision-making and time for creation.,Neutral,Improved decision-making and problem-solving,Increased efficiency and productivity,,,,,,,
e67c20ed-a339-4a64-ab63-90d67854d4c3,Ai has changes most of the way of working for me. Everything can be done faster and more efficiently with AI help.,Neutral,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
c4dfa7e0-94fb-4f80-8eb3-10228096390a,Ai has make work easier and even motivated me to even work more ,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
bdd8db3f-5abd-4804-b63a-63bddc76b75b,"Ai helped a lot in career advice, skill gain and a personal care taker in academics in the past year.",Positive,Enhanced learning and study support,Health and wellness support,Personalized recommendations and advice,Professional development and upskilling,,,,,
b2aeb350-863c-49ea-adb6-f20ae2557539,"Ai helps me develop lesson plans, schemes of work and record of work covered during my teaching lessons",Positive,Content creation and idea generation,Personal organization and time management,,,,,,,
b7248c9e-b989-4331-8e6d-d971622d720e,Ai is make my life easy is and comfortable   my daily life routine,Positive,Convenience in daily life and routine tasks,,,,,,,,
b60138f8-df8a-4647-b086-9513c3938386,"Ai is more incorporated in everything I use, in social media, shopping sites, work. I feel like its being integrated everywhere and eliminating the usage of live human chats.",Neutral,AI-powered customer service and chatbots,Changes in social media and online content,Increased use and normalization of AI in daily life,Reduced human interaction and increased reliance on AI,,,,,
7f8adab6-dfbf-44d2-9fa1-3a6c06976898,"Ai systems mainly provided accurate and precise information and helped me in locating best travel places, ideas to work and improve productivity.",Positive,Enhanced learning and study support,Faster and easier access to information,Improved decision-making and problem-solving,Increased efficiency and productivity,Personalized recommendations and advice,,,,
e91271b6-bcd0-4f0a-b096-88576a78560d,Al has made life easier and great every day and every thing is perfect with AI,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,Increased use and normalization of AI in daily life,,,,,,
3fe114b2-7453-4a5c-b735-cbb2146b71dc,Al is working as a customer care executive in many organisations.,Neutral,AI-powered customer service and chatbots,,,,,,,,
d5d82669-4412-477c-8930-99536bb74478,Am a programmer .debugging codes has been so easy and takes less time thanks to AI thus my life has improved,Positive,Increased efficiency and productivity,Reduced stress and workload,,,,,,,
d26e3276-c406-4a1e-9a92-b612478d1065,"An unbearable explosion of AI-generated content on social media, there is no safe space to search for new information, images, or ideas without running into unhelpful AI.",Negative,Changes in social media and online content,Concerns about misinformation and AI-generated content,,,,,,,
a55456f1-4822-4e53-9df0-984ea93b9745,Applying for jobs has become easier due to being able to have chatgpt adapt a cover letter for a specific job posting. It has also mae it easier for me to reply to certain emails better.,Positive,"Improved writing, editing, and communication",Increased efficiency and productivity,,,,,,,
68217a7f-db4a-4785-960e-8237990018b9,"Appointments for appointments that were previously made by a person are now made by an AI, I drive to other places and here in my country toll collections were made by people and now it is done by AI, artificial intelligence is good but it takes the place of people who need to work.",Neutral,Automation of repetitive and mundane tasks,Job displacement and employment concerns,,,,,,,
afc5e14e-ea8c-4638-963c-eb9e7c7fc980,"Articulating emails, giving a brief idea about any field.",Neutral,Content creation and idea generation,"Improved writing, editing, and communication",,,,,,,
084ab731-380f-4507-9608-7db789112adf,Artificial intelligence can be very helpful when doing repetitive tasks. It also helps when I need brainstorming.,Positive,Automation of repetitive and mundane tasks,Content creation and idea generation,,,,,,,
0f273a7a-74b6-4c0d-b550-26efd911af1e,"Artificial intelligence can give me advice when I’m not feeling well, can assist me at work, can understand my mood when I’m in a bad mood, and can teach me how to cook.",Positive,Emotional support and companionship from AI,Health and wellness support,"Improved writing, editing, and communication",Language translation and language learning,Personalized recommendations and advice,,,,
75fd9239-0350-43ae-afda-028ccf28cbc3,"Artificial intelligence has brought a lot of changes to my daily life. For example, I now turn to artificial intelligence for help in work, daily life, or anything else. Of course, the responses from artificial intelligence may not always satisfy me, but compared to asking other people or relying on search engines to find answers, I feel that the responses from artificial intelligence are more targeted to me, without conflicts of interest and the annoyance of advertisements.",Neutral,AI replacing traditional search engines,Changes in research and knowledge discovery methods,Faster and easier access to information,Personalized recommendations and advice,,,,,
19ce728e-14b7-48a1-88f7-f2d1c2875974,"Artificial intelligence has helped me a lot. Now when I have questions, I will seek help from artificial intelligence first.",Positive,Faster and easier access to information,Increased efficiency and productivity,Increased use and normalization of AI in daily life,,,,,,
4b57de5d-eccc-4308-b38b-efce036faa16,"Artificial intelligence has indeed made our daily lives more convenient. For example, if we are in a hurry to travel without making travel plans, we can ask artificial intelligence to get a very practical travel suggestion. According to our request, the travel suggestion will be appropriately modified to better suit our personal situation. For example, when we are unable to make a decision, asking artificial intelligence can better help us analyze the situation and help us make the final decision.",Neutral,Convenience in daily life and routine tasks,Improved decision-making and problem-solving,Personalized recommendations and advice,,,,,,
d325977b-928e-4bc0-8bfa-9892bca44528,"Artificial intelligence helped me a lot in finding sites to make money online, helped me in finding a healthy diet, and saved me time to do several daily tasks.",Positive,Convenience in daily life and routine tasks,Financial and investment assistance,Health and wellness support,Increased efficiency and productivity,,,,,
5c3dec0f-01b7-43bb-bebc-37b42cf20fde,Artificial intelligence helps me express myself more clearly in emails,Positive,"Improved writing, editing, and communication",,,,,,,,
fdf452c3-f63b-4466-8ae6-e415bb035a0b,"Artificial intelligence is better than search engines in some issues, and it can continuously ask questions about a problem. My search is continuous, unlike search engines, where I need to split the questions myself. At the same time, artificial intelligence can help me organize my framework.",Neutral,AI replacing traditional search engines,Changes in research and knowledge discovery methods,Improved decision-making and problem-solving,,,,,,
434a319b-4c83-4940-a72e-70456d9e45ae,Artificial intelligence makes my work and life more convenient and faster. It improves my work quality and efficiency.,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
d2d9d1ae-78e3-4b6c-89f9-2b3ffad4ffc1,Artificial intelligence might give me some life advice.,Neutral,Personalized recommendations and advice,,,,,,,,
11cd2fad-fbd7-4909-95f9-a98dc8c72987,"Artificial intelligence replaces browser searches and data query time

",Neutral,AI replacing traditional search engines,Faster and easier access to information,Increased efficiency and productivity,,,,,,
1519535d-9a93-4c4a-97a4-224f7c3062f2,"As I am a person who is introvert and not like being aski g for help a lot, the biggest change was that I asked AI to help in reading somw difficult data for me ao i would not ask anyone else.",Neutral,Faster and easier access to information,Greater confidence and independence,Improved decision-making and problem-solving,,,,,,
40e790d5-e515-4932-8411-c330f4e1d62e,As I am an introvert I don't talk alot with others with my problems and issues but AI helped me to solve all this problems and issues without expecting anything in return. ,Positive,Emotional support and companionship from AI,,,,,,,,
230ed08f-1c56-4ca8-8aee-77f94c43d9f6,"As a brand owner, editing photos or finding good ideas for social media posts or even texts was always difficult, something that has been made easier with the various AI tools.",Positive,Changes in social media and online content,Content creation and idea generation,"Improved writing, editing, and communication",,,,,,
1a476a43-9cc5-490c-9f8d-1a9c3612772d,As a result of using AI - no,Negative,Other,,,,,,,,
37a2afc5-741c-4a04-8a14-72941d113f61,As a student i have noticed that my grades are so much better because i use AI as a guide/teacher,Positive,Enhanced learning and study support,Greater confidence and independence,,,,,,,
29ac8c81-7633-4b38-a3bb-fff5dd14de34,As a study tool,Neutral,Enhanced learning and study support,,,,,,,,
3f21abe1-37d9-4eeb-8f0a-c96b27521c96,"As a teacher, I think AI can help me prepare lessons to a great extent, but it is difficult to apply AI's suggestions to real classes because it does not understand real classes and students' personalities and preferences. So I only use AI to help me prepare lessons occasionally.",Neutral,Content creation and idea generation,Other,Professional development and upskilling,,,,,,
7e64e025-cad2-4f80-b111-ac77d42b318f,"As an 18-year-old tech student in India, AI has helped me study better, especially in tough subjects like CS. Tools like ChatGPT make learning more personalized and help me stay on track. It’s improved how I manage time and recover from academic setbacks. As a Muslim, I also believe AI must be used ethically, with fairness and care for all communities.",Positive,Enhanced learning and study support,Personal organization and time management,Personalized recommendations and advice,,,,,,
a942d3e6-ec6f-4c7a-a3a6-626c19522ee0,"As an Engineer, I now witness a lot of AI in academics and professional setting. From personal life to professional life AI has influenced almost everywhere. From scrolling social media to consuming daily news update everything is under AI influence. As an engineer a lot of AI is now developed to monitor process parameters in Manufacturing domain and novel studies.AI has completely reformed how long and hectic tasks  were used to perform previously.",Neutral,Automation of repetitive and mundane tasks,Changes in research and knowledge discovery methods,Changes in social media and online content,Enhanced learning and study support,Increased efficiency and productivity,Increased use and normalization of AI in daily life,,,
af39bc48-06f9-41e3-9754-d6a649682293,"As someone using a second language for work, LLMs help me with emails with colleague (to make it sound professional yet friendly) ",Positive,"Improved writing, editing, and communication",Language translation and language learning,,,,,,,
2c38a515-eb44-441a-acb1-40e030da88ab,Assist in researching and submitting a work program and plans to study a specific program or programs.,Neutral,Enhanced learning and study support,Improved decision-making and problem-solving,,,,,,,
19d1e103-a6da-4242-a3b1-80f2cc6c405c,"Autocorrection

Timely response ",Neutral,Increased efficiency and productivity,,,,,,,,
587ca22a-b463-49a0-85fa-d4a3c484dd06,Automation,Neutral,Automation of repetitive and mundane tasks,,,,,,,,
9128aea7-af82-4110-8678-72a3398b68a2,Automation has made the system more convenient and faster.,Positive,Automation of repetitive and mundane tasks,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,
465498b6-6e77-4ba3-85ed-9b4e9cf5d782,Automation of daily and repetitive tasks,Neutral,Automation of repetitive and mundane tasks,Convenience in daily life and routine tasks,,,,,,,
95a6a636-89ff-4775-b174-cfab79e6fcf4,"Based on the information provided in the image, I have interacted with AI systems to complete an action in the real world on my behalf without my supervision on a monthly basis over the last three months.

As for the most noticeable change in my daily life as a result of AI in the past year, I do not have a specific change to report. The image does not provide enough information for me to determine a meaningful change in my daily life due to AI.",Neutral,Other,,,,,,,,
30735602-a8ae-4d5a-b834-866e28daca88,"Basic support for brainstorming, copywriting, and also support for basic medical information",Neutral,Content creation and idea generation,Health and wellness support,"Improved writing, editing, and communication",,,,,,
25088aca-9cb4-4291-a171-a4509b4808bb,"Basically, being able to start my tasks more effectively. Normally, it takes me a long time to start a task, so with the help of AI, I have no excuses to delay starting.",Positive,Increased efficiency and productivity,Personal organization and time management,,,,,,,
a0b852fe-2cce-4ee4-bb2d-4d33369ba4bd,Because I can share my secrets and ask for advice that I couldn't share with someone else ,Positive,Emotional support and companionship from AI,Personalized recommendations and advice,,,,,,,
4f8f3a7d-d93e-485f-b596-340d021b799e,"Because I don't really use AI that much, I haven't really noticed any noticeable changes in my life.",Negative,Other,,,,,,,,
71d68ad2-ffea-44c1-a318-2e895f135ca1,"Because I live in a country that is not my native language, I mainly use artificial intelligence for translation. They are smarter than traditional translations and can respond differently based on the context.",Neutral,Faster and easier access to information,Language translation and language learning,,,,,,,
fc9c2d48-6751-4313-8523-2ed1c2e65a15,"Because of AI, my office work can be done very easily and complete my work on time, so I feel very happy and satisfied ",Positive,Increased efficiency and productivity,Reduced stress and workload,,,,,,,
c0ab8e3e-089d-40fb-9fb6-03d1620caf4b,Becoming more goal oriented than process oriented ,Neutral,Greater confidence and independence,,,,,,,,
100999be-9604-4927-9dd6-e895fb0c7421,"Before artificial intelligence, I usually used Google to search for information. After artificial intelligence became popular, I prefer to let artificial intelligence help me search.",Neutral,AI replacing traditional search engines,Faster and easier access to information,,,,,,,
