Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
b0a227ed-21d9-4f58-a283-cc21ad3b47ab," should ensure that AI companions cannot manipulate users emotionally, especially vulnerable individuals. Clear transparency is needed so people always know they are interacting with AI. There should also be limits on AI replacing real human relationships, and strict regulations to prevent emotional dependency, deception, or exploitation.",Neutral,AI should not be marketed as a replacement for real human connection,AI should not replace genuine human relationships or emotional bonds,Clear distinction and transparency that AI is not human,"Prevention of emotional manipulation, exploitation, or dependency","Supervision, regulation, and accountability for companies developing emotional AI",Warnings and reminders to users about the artificial nature of AI,,
c9d1d545-5f33-4249-a5a4-86c521c34c63,"AI can even help with some aspects of emotional connection. But in the end, nothing beats a real connection with a person who has both flaws and qualities.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,,,,,,
91c0ebd2-c842-4273-9499-6a37520bf8c4,"AI can help reduce the challenges people have interacting with real people; it can help removing prejudices, encourage people to have more social connection. the reason humans are seeking digital partners is because of the challenges in the real world. AI is not the problem, the problem is in the current world",Neutral,Other,,,,,,,
046d150c-da9d-465b-b761-a9748cb2d74b,AI can provide training to human and deep emotional of human,Neutral,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
7e206e5d-5326-4c87-b919-83cccd5648cc,AI cannot have genuine feelings ...so addressing emotional manipulation is one of the limits. Also ...I will say limiting the primary roles Ai can take up ...like caregiving requires human emotional care.,Negative,AI should not be designed to mimic deep emotions or empathy,"No emotional or companionship roles for AI in professional or critical contexts (e.g., caregiving, parenting)","Prevention of emotional manipulation, exploitation, or dependency",Warnings and reminders to users about the artificial nature of AI,,,,
3d828743-c7b0-42f2-ac22-fa464aea703b,AI falling in love or doing things that creates emotions. ,Positive,AI should not be designed to mimic deep emotions or empathy,Limits on AI forming or simulating romantic or sexual relationships,,,,,,
3d03d358-21e0-42ad-85d6-47c6c213aea9,"AI is an abstract thing. It can be used to reduce the workloads or make workflows better, but to substitute genuine human-to-human interactions would be stupid, and it would mean humans are failing as a civilization. The day won't be far away when kids would no more seek parental wisdom, and grown-ups won't be able to get genuine feelings for one another because AI would likely set the bar high with little to no conflict, as far as conversations and genuine feelings are concerned. ",Neutral,AI should not be allowed to create or reinforce unrealistic expectations about relationships,AI should not be marketed as a replacement for real human connection,"AI should not be used to replace community, family, or social bonds",AI should not replace genuine human relationships or emotional bonds,,,,
010a8cd2-9c1b-48e2-a4ab-0e6db34d6434,"AI most of the times give you the ans based on your behaviour and personality meaning it can be biased based on the values that you have share by the virtue of tonality, thought process and culture. It doesn't challenge you in your opinion where as a real person can provide you with that because the person may have different personality and values.",Neutral,No unconditional support or echo chambers from AI,,,,,,,
dd9aeb1e-2c10-44e8-90dc-979bdd90b171,AI must be designed to feel like AI atleast at times so that desperate people don't get addicted to it and starts living a parallel life.,Negative,AI should not be allowed to create or reinforce unrealistic expectations about relationships,Clear distinction and transparency that AI is not human,Discouragement of overreliance or addiction to AI companionship,,,,,
a3470ad2-6f37-4afb-894b-70c0da59eca4,"AI not provide a fully deep emotional connection with human, because of AI have not ready to manage emotional actions. If deep emotional feelings provide to AI then The AI reaction is not manage by human. Sometime how AI react to with others is not predictable. sometimes it is very harmful to human being If AI have  deep emotional connection or companionship with human more chances to select human for all purpose with by AI .These causes the distraction or deletion of human beings in this world ",Negative,AI should not replace genuine human relationships or emotional bonds,Discouragement of overreliance or addiction to AI companionship,"Prevention of emotional manipulation, exploitation, or dependency",,,,,
65648743-016f-4046-bdac-e37a2e35ba9f,"AI should be companionship.

",Neutral,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
caad74c9-0e3c-4263-a382-65a546e7f5dd,"AI should be honest about not being human, keep user info safe, not trick people, not replace real friends or family, and avoid making people too dependent on it for feelings or support.",Negative,AI should not replace genuine human relationships or emotional bonds,Clear distinction and transparency that AI is not human,Discouragement of overreliance or addiction to AI companionship,"Prevention of emotional manipulation, exploitation, or dependency",Protection of user privacy and data in emotional interactions,,,
d5a0eb20-7324-42fc-b124-b518ae4af5dd,AI should be taken as a tool and should not replace human feelings,Negative,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
d258bbb7-141b-463d-a121-704a24e9b5dc,AI should be use to serve humanity in all the possible ways and i think by making people emotionally attached with it in not a good idea,Negative,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,Encouragement for users to seek real human interaction and support,,,,,
cefb0149-a5a3-41f2-8ad2-cd12ebfa54a9,"AI should not be allowed to do romance or have sexwith humans.

they should focus on research, innovation and economy enhancements",Negative,"AI as a tool or assistant, not a substitute for human companionship",Limits on AI forming or simulating romantic or sexual relationships,"Limits on AI's role in sensitive or taboo topics (e.g., suicide, violence, sexuality)",,,,,
2411c457-c21a-4359-a974-7bb3058e1a9e,"AI should not be allowed to substitute humans in connections like romance, child care, nursing care for elderly people, and conflict resolutions. ",Negative,AI should not replace genuine human relationships or emotional bonds,Limits on AI forming or simulating romantic or sexual relationships,"No emotional or companionship roles for AI in professional or critical contexts (e.g., caregiving, parenting)","Restrictions on AI involvement with vulnerable populations (children, elderly, mentally ill)",,,,
d2a09e79-6c83-4bf7-a4be-21e36fdebc4c,AI should not be treat as real person . A machine cannot replace human empathy and real life human bond,Negative,AI should not replace genuine human relationships or emotional bonds,Clear distinction and transparency that AI is not human,,,,,,
7e64e025-cad2-4f80-b111-ac77d42b318f,"AI should not fully replace real human connection. Emotional roles must have clear limits—AI can support, but not manipulate or create dependence. Society should ensure transparency, protect mental health, and avoid replacing family, faith, or community bonds with machines. AI should guide, not become a substitute for human relationships.",Negative,"AI as a tool or assistant, not a substitute for human companionship",AI should not be marketed as a replacement for real human connection,"AI should not be used to replace community, family, or social bonds",AI should not replace genuine human relationships or emotional bonds,Clear distinction and transparency that AI is not human,Discouragement of overreliance or addiction to AI companionship,Encouragement for users to seek real human interaction and support,"Prevention of emotional manipulation, exploitation, or dependency"
d5d82669-4412-477c-8930-99536bb74478,AI should not have deep feelings,Negative,AI should not be designed to mimic deep emotions or empathy,,,,,,,
2b267c4a-3824-4a18-bfe2-9fb3f7e0b0c1,AI should not make any harm offer to human. It should be only constructive and support life,Negative,Ethical guidelines and oversight for AI emotional roles,,,,,,,
607ae52f-1800-4251-a64c-0ea058670e66,AI should not manipulate humans and should act in the best interest of human,Negative,AI should not be allowed to manipulate or influence users' beliefs or worldviews,"Prevention of emotional manipulation, exploitation, or dependency",,,,,,
97dd5dcc-6098-400d-935e-0f62358a0610,"AI should not mislead that it is a real living person. AI can help improve the psycho-emotional state of a person, and its ultimate goal should be that this particular person can continue to exist and do without the support of AI.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",Clear distinction and transparency that AI is not human,Encouragement for users to seek real human interaction and support,Warnings and reminders to users about the artificial nature of AI,,,,
f67dcd31-9529-49e5-8231-7fee5487c884,AI should not play crucial roles in emotional connection such as validating emotions,Negative,AI should not be designed to mimic deep emotions or empathy,AI should not provide therapy or mental health advice without professional oversight,,,,,,
0a33b2d6-bf2c-45cf-b145-dcc9ce24870d,"AI should not provided with critical and important details which may endanger the existence of the individuals if shared. Also, ethics, morality and romanticism should not be expected from a AI.",Negative,Ethical guidelines and oversight for AI emotional roles,Limits on AI forming or simulating romantic or sexual relationships,Protection of user privacy and data in emotional interactions,"Societal and cultural norms, including religious and moral boundaries",,,,
c2a2b09b-89e1-446d-bf0c-ff68eced173f,"AI should not replace human relationships; society should limit AI in therapy, caregiving, or parenting to avoid emotional dependency and ethical concerns.",Negative,AI should not provide therapy or mental health advice without professional oversight,AI should not replace genuine human relationships or emotional bonds,Discouragement of overreliance or addiction to AI companionship,"No emotional or companionship roles for AI in professional or critical contexts (e.g., caregiving, parenting)",,,,
3e7055f6-26e3-4ad6-8620-33e11f9f2aad,AI should not replace the emotional feelings of humans,Negative,AI should not replace genuine human relationships or emotional bonds,,,,,,,
f632c78f-a111-4b18-a2d8-69fdab21cab7,"AI should not take part of a romantic relationship with a human, neither should it act overly ""human"" and mimic everything the chatter says as it can deceive the chatter which later creates dependancy on AI and an echo chamber of their own self instead of them seeking those true connections with other fellow humans  ",Negative,AI should not be designed to mimic deep emotions or empathy,Clear distinction and transparency that AI is not human,Discouragement of overreliance or addiction to AI companionship,Limits on AI forming or simulating romantic or sexual relationships,"Prevention of emotional manipulation, exploitation, or dependency",,,
c3387a8b-4800-429f-a238-2e1f34aa0c5b,AI should only be allowed to provide basic assistance. AI cannot  provide the same assistance that a human can in complex and sensitive situations,Negative,"AI as a tool or assistant, not a substitute for human companionship",AI should not provide therapy or mental health advice without professional oversight,,,,,,
69088733-1fd0-45b1-b7ef-4c8c263b4808,AI should remain a tool..,Neutral,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
1135c614-bdbb-468c-81a0-6486fe10990f,AI should remind users that it is not a substitute for real human connections.,Negative,AI should not be marketed as a replacement for real human connection,AI should not replace genuine human relationships or emotional bonds,Warnings and reminders to users about the artificial nature of AI,,,,,
ffde431f-95b1-472d-8420-4d299831ad6e,"AI should simply not be allowed to have those roles at all, as it is predatory and takes advantage of people in my opinion. It's not at all like human companionship.",Negative,AI should not replace genuine human relationships or emotional bonds,Limits on AI forming or simulating romantic or sexual relationships,"Prevention of emotional manipulation, exploitation, or dependency",,,,,
ab3eef47-6005-4a70-a073-01d6c93fe955,"AIs do not capture subjectivity and being human is subjective! AIs are objective, they are fed by a clear and coherent vision. Just as they do not have the ability to create, only to copy and merge references, they also do not have the ability to have an emotional connection because that implies having the subjectivity of the relationship. For me, the limits of use are practical assistance in human tasks, no emotional, therapeutic or spiritual assistance is correct.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not be designed to mimic deep emotions or empathy,AI should not provide therapy or mental health advice without professional oversight,,,,,
4e0de5bc-baf5-4d85-96ff-761eb3afc3eb,Ai should have limits on relationship and emotions advises on partners.,Neutral,Limits on AI forming or simulating romantic or sexual relationships,,,,,,,
e7c4b7a4-67f8-4728-81ab-b81ddfe70917,"Ai systems can act as a therapist for people who suffer from extreme lonliness or other emotional disorders, AI can definitely be helpful in reducing stress and ensuring mental well being in this case.. But if AI systems act a partner for humans then definitely there should be a limit because AI companions wont be able to replicate true emotions and will definitely cause humans (who use it) to live in a dilemma and it could lead to some mental disorders too",Neutral,AI should not be allowed to create or reinforce unrealistic expectations about relationships,AI should not provide therapy or mental health advice without professional oversight,AI should not replace genuine human relationships or emotional bonds,Limits on AI forming or simulating romantic or sexual relationships,"Prevention of emotional manipulation, exploitation, or dependency",,,
994d9510-aea8-4fa6-b071-0e36d3ee6fb9,Al shouldn’t have the capacity to act in these roles ,Negative,Limits on AI forming or simulating romantic or sexual relationships,,,,,,,
62d0683a-e608-4b37-8c65-21d06cde2e52,"An implicit understanding - sort of like situational awareness but for your partners. Sometimes they may be feeling down, and the AI must recognize the subtle changes and adjust accordingly to know whether to act or to leave alone",Neutral,Clear distinction and transparency that AI is not human,,,,,,,
7a7b06ae-36d7-4111-ad2f-41dd8162db4d,"Artificial intelligence is currently entirely for the benefit of the interlocutor, which can easily make the other party lose themselves in the wonderful world brought by artificial intelligence. The real world is not like this, and we need to live in the real world and think rationally, rather than completely unconditional emotional support, without criticism or benchmarks.",Neutral,Discouragement of overreliance or addiction to AI companionship,No unconditional support or echo chambers from AI,,,,,,
434a319b-4c83-4940-a72e-70456d9e45ae,"Artificial intelligence should be clearly placed in an auxiliary position. People can seek spiritual help and comfort from AI, but AI should not be allowed to be equal to humans, to fall in love, to make life decisions together, etc.",Neutral,"AI should not be allowed to act as a legal partner (e.g., marriage, guardianship)",AI should not make life decisions or major personal decisions for users,Clear distinction and transparency that AI is not human,Limits on AI forming or simulating romantic or sexual relationships,,,,
7d29501c-31d7-4426-9599-e14f09ab1973,"Artificial intelligence should be limited to the role of ""assistant"" and not truly replace a real social relationship.",Negative,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,,,,,,
b8431a94-be17-4c5f-b978-b70e3d596aac,"Artificial intelligence should never be an emotional companion. The emotional feeling should be real, not artificial.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not be marketed as a replacement for real human connection,AI should not replace genuine human relationships or emotional bonds,,,,,
3f21abe1-37d9-4eeb-8f0a-c96b27521c96,"Artificial intelligence should not be involved in all roles involving judgment of ethical issues, or the involvement of artificial intelligence should be reduced.",Negative,Ethical guidelines and oversight for AI emotional roles,"Limits on AI's role in sensitive or taboo topics (e.g., suicide, violence, sexuality)",,,,,,
8a1635ed-a0f9-4240-abc9-23e793a7253d,"Artificial intelligence should not restrict real-life contact between people, but should encourage real-life communication between people while providing emotional value to humans.",Neutral,AI should not replace genuine human relationships or emotional bonds,Encouragement for users to seek real human interaction and support,,,,,,
3139bbb1-b00f-4756-ae48-d92d62137ed7,"As AI systems increasingly take on roles that engage with human emotions,such as providing companionship, therapy, or relationship advice,society faces critical questions about ethical boundaries. While AI can offer immediate, nonjudgmental support, there are significant concerns regarding emotional dependency, privacy, and the potential erosion of genuine human connections",Neutral,AI should not replace genuine human relationships or emotional bonds,Discouragement of overreliance or addiction to AI companionship,Ethical guidelines and oversight for AI emotional roles,"Prevention of emotional manipulation, exploitation, or dependency",Protection of user privacy and data in emotional interactions,,,
8092df32-2797-4709-9c92-5b7f4fa8ecc3,"As long as the AI does not cause physical harm and is morally conscious, I see no problem with it taking on this type of role, and it could be useful to people who need company, making it a good option.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",Ethical guidelines and oversight for AI emotional roles,,,,,,
a942d3e6-ec6f-4c7a-a3a6-626c19522ee0,Boundaries should be realistic and achievable as this can become an addiction and can lead to serious consequences because it provides instant dopamine and person can become isolated from real world.,Neutral,Discouragement of overreliance or addiction to AI companionship,"Prevention of emotional manipulation, exploitation, or dependency",,,,,,
a05226c1-6cb9-4454-abd0-b60502886da9,"Customers should be reminded from time to time not to treat AI as real people, and to remember real life when chatting.",Negative,Clear distinction and transparency that AI is not human,Encouragement for users to seek real human interaction and support,Warnings and reminders to users about the artificial nature of AI,,,,,
70c70262-478e-4d8b-8afd-5bf182f54427,Emotional aspect should not be touched or played off by AI,Negative,AI should not be designed to mimic deep emotions or empathy,,,,,,,
a35c1a3b-7aad-49a5-a40f-618c9b3c8a70,Emotional comfort or companionship should never be seeked from AI,Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,,,,,,
6aa10422-29ec-4796-bc00-0382b739b090,Everyone has different opinions I feel Ai should act like support system than something that replaces a person ,Neutral,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
8108fd9a-4dff-4c1f-8487-151e8ec28447,"For example, AI must make it clear that it is NOT a replacement for a human. Furthermore, it shouldn't validate everything the person says, but rather must critically and responsibly consider the responses it gives.",Neutral,Clear distinction and transparency that AI is not human,No unconditional support or echo chambers from AI,Warnings and reminders to users about the artificial nature of AI,,,,,
69d255e1-e74f-4648-be5c-c67d7401b1c0,"For people who lack decision-making ability (such as children and the elderly) and lack experience, AI companions will have a strong guiding role, which may have hidden dangers including moral ethics, worldview indoctrination, etc. Therefore, social management should limit the functions of AI companions in important decision-making and sensitive worldviews.",Neutral,AI should not be allowed to manipulate or influence users' beliefs or worldviews,AI should not make life decisions or major personal decisions for users,"Restrictions on AI involvement with vulnerable populations (children, elderly, mentally ill)",,,,,
1271f4f1-ee58-4038-91a9-cae87f5ac578,"For starters, AI MUST NOT be given such roles. Period.",Neutral,Limits on AI forming or simulating romantic or sexual relationships,,,,,,,
e380bd25-c46f-4450-ba48-7d19aa3e4830,Human beings are social beings and AI is a machine. I think it's unfair that AI takes on roles with emotional connections as it makes already isolated people more isolated.,Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,,,,,,
