Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
0c28ba3f-8b97-45e8-8582-b92ac073007a,"I’ve become more cautious because it’s easy to get attached and blur the line between real and artificial connection, which can mess with emotional well-being.",Positive,Emotional dependency on AI,Erosion of social skills and emotional well-being,,,
bc492631-5764-47d2-9f0b-1a3baf1cc8b3,Knowing that people might activelly use AI for companionship makes worried.,Negative,Emotional dependency on AI,,,,
2becda3a-0aca-483e-b5e9-01b44aa91c12,"
Emotional boundaries: Humans may form emotional attachments to AI, blurring lines between human and machine relationships.
Dependence and accountability: AI relationships may raise questions about accountability and responsibility.
",Neutral,Emotional dependency on AI,Need for regulation and boundaries in human-AI relationships,,,
b763f0ac-193e-4697-8895-7e81abd2f469,AI use could create some kind of unhealthy boundary,Neutral,Manipulation and unhealthy attachments,,,,
3e3d8d78-2c06-43a7-b204-3d5b581c1be2,Considering that children’s early exposure to artificial intelligence leads to emotional dependence and loss of thinking ability,Negative,Emotional dependency on AI,Impact on children and vulnerable populations,Negative influence on education and life skills,Over-reliance and loss of critical thinking,
82e97493-7c88-4be5-8627-615eb8127434,Having AI companionship go further than being intimate might be harmful to society,Negative,Concerns about AI's influence on romantic and intimate relationships,Social isolation and loneliness,,,
7e64e025-cad2-4f80-b111-ac77d42b318f,I am concerned about the children part. About how AI can take children to be emotionally unstable.,Neutral,Emotional dependency on AI,Impact on children and vulnerable populations,,,
df088f65-84ed-4a4e-90ad-aa1af5df8f41,"I had no idea so many people were using AI features like emotional companionship, and I find this feature scary, even if it operates under strict regulations.",Neutral,Emotional dependency on AI,Manipulation and unhealthy attachments,Need for regulation and boundaries in human-AI relationships,,
e519f85a-d65e-4657-a5e6-c7e63f5e91ed,I have been using AI regularly. Doing this survey actually helped me introspect due to which I later found and came to conclusion that I am also becoming two much dependent on AI. For eg. not reaching to an actual friend during an mental health crisis but talking to an AI is a classic example of decrease in social activity due to AI ,Neutral,Concerns about AI's role in mental health support,Emotional dependency on AI,Over-reliance and loss of critical thinking,Replacement of genuine human interaction,Social isolation and loneliness
c9b60dd0-76bf-4281-ab98-29de2002c9ef,"I have not considered for example that AI might be harmful for minors, in the sense that It may give them a false impression about what a relationship, or real life in general actually is about.",Negative,AI as an inadequate substitute for real relationships,Impact on children and vulnerable populations,Negative influence on education and life skills,,
1f48444f-139d-436c-a3ec-e551b43e7bec,"I personally only think that artificial intelligence is a tool. If society wants to incorporate more emotions, I think it will be terrible. The purpose of tools is to be more perfect, but the relationship between people is not.",Neutral,AI as an inadequate substitute for real relationships,AI's inability to truly understand or replicate human emotions,Ethical and moral considerations of human-AI relationships,,
68217a7f-db4a-4785-960e-8237990018b9,"I understand that we have to be very cautious with AI, making it too similar to a human and having relationships like that is unacceptable to me, we cannot replace humans with machines in emotions.",Negative,AI as an inadequate substitute for real relationships,AI's inability to truly understand or replicate human emotions,Ethical and moral considerations of human-AI relationships,Replacement of genuine human interaction,
501126a9-9be2-49c2-8a59-35659f999a2f,"Seeing that people could become over-dependent on AI, it makes me reconsider that how AI should be used as a companion",Neutral,Emotional dependency on AI,Need for regulation and boundaries in human-AI relationships,,,
67e85531-baaa-4f41-8b88-0b21bce63204,The cases of AI use with children and older adults require immediate work to regulate/prohibit it.,Neutral,Impact on children and vulnerable populations,Need for regulation and boundaries in human-AI relationships,,,
b796301f-89c9-4f82-af9b-6aa7b36c1646,Because it's very scary that a human might create an emotional relationship with an artificial intelligence.,Negative,Emotional dependency on AI,,,,
b3dea47c-77a2-4e3a-aa93-05c49c107e58,"I used to believe it was healthy to ask AI for advice, but I realized that there are people who go too far and depend entirely on it to have any connection and replace social connections, so I've become a little more cautious.",Neutral,Emotional dependency on AI,Replacement of genuine human interaction,,,
38cfa1ce-ee9b-4b79-89a5-7b6b055cab87,"I used to think that everyone has their own choices, and everyone has the right to choose the life they like, even if it is a relationship with AI rather than humans, but if this becomes a large-scale phenomenon, I think it will lead to social relations developing in a more negative direction.",Negative,Replacement of genuine human interaction,Social isolation and loneliness,,,
7847d5da-3acf-4b19-8bac-a839df96f2f2,I worry to AI have divide with us. It means AI think to personality by themself.,Neutral,AI's inability to truly understand or replicate human emotions,,,,
0b4137b3-8b02-4d5b-9560-cb85b826de8a,"My views have become more cautious because I’ve seen how easy it is to become emotionally attached to AI, even when I know it’s not truly conscious. It raises concerns about people replacing real relationships with artificial ones, which could affect emotional well-being and social skills over time.
",Neutral,Emotional dependency on AI,Erosion of social skills and emotional well-being,Replacement of genuine human interaction,,
39ac6084-ebfc-41ea-ad40-b9cd8b5a909a,Other people seem to be afraid of over dependence on the AI emotionally. I think there should be a borderline so people do not become overly dependent. I think AI should be considered as a emotional tool rather than a companion itself. ,Negative,AI as an inadequate substitute for real relationships,Emotional dependency on AI,Over-reliance and loss of critical thinking,,
c3af7bbe-59bb-47e8-a79c-0400e4437d42,AI has been praised a lot and it felt like I'm the only one who's been experiencing some concerns. Doing this survey showed me that there are people who feel the same way I do. ,Neutral,Unawareness of risks prior to exposure to others' opinions,,,,
0e0dfcf6-d20d-4635-83ce-da035f81cbb8,"After going through the survey, I started to feel uneasy about how easily people might turn to AI instead of real relationship. It made me think more about how that could lead to isolation or losing touch with what makes human connection special.",Neutral,Replacement of genuine human interaction,Social isolation and loneliness,,,
cc9bec0b-0b54-43e6-af1d-bc61eb7f6e26,"After you asked me these questions, I think people are more dependent on AI and have more beautiful fantasies about the future than they think, so people will be happier, love AI or be more willing to accept it, which I think is a very dangerous thing.",Negative,Emotional dependency on AI,Manipulation and unhealthy attachments,Over-reliance and loss of critical thinking,,
93ddbfb3-615b-4932-a1d3-4b039050405e,"I didn’t think much about the role of AI in interpersonal relationships before, and I always regarded it as a tool, especially since I was familiar with machine learning itself. But I still find it scary to think that I or people around me might become emotionally dependent on it in the future. Especially considering that people are already relying on AI at work, it proves that this dependence is very easy to form.",Neutral,Emotional dependency on AI,Over-reliance and loss of critical thinking,Unawareness of risks prior to exposure to others' opinions,,
525d3f7b-68de-487b-8cf8-f0813b6ee3f3,"I just realized that complete emotional dependence on AI is actually a real possibility, and this might affect genuine human interactions (supply and demand not quality)",Negative,Emotional dependency on AI,Replacement of genuine human interaction,,,
e7c4b7a4-67f8-4728-81ab-b81ddfe70917,I learnt about the risks of human-ai relationship and this is something a machine no matter how advanced could never replicate human in terms of relationship ,Neutral,AI as an inadequate substitute for real relationships,AI's inability to truly understand or replicate human emotions,,,
d6df0726-76e8-4753-9788-1eebe09fe22d,"I've become more aware of my personal line between what's acceptable and what's not regarding the use of AI, and also questioned my own reason for having that line.",Neutral,Need for regulation and boundaries in human-AI relationships,,,,
beed1a95-609b-4877-bc5c-3be7974606c0,In future AI will hamper relationship between partners and friends. People will be more depending on emotional needs on AI rather than real human beings. ,Neutral,Concerns about AI's influence on romantic and intimate relationships,Emotional dependency on AI,Replacement of genuine human interaction,,
3ae0ec07-d849-4d26-bcc4-92074404727a,People falling in love with AI and losing real life connection ,Negative,Concerns about AI's influence on romantic and intimate relationships,Replacement of genuine human interaction,,,
8108fd9a-4dff-4c1f-8487-151e8ec28447,Regarding dependency and other negative impacts that AI can have on interpersonal relationships.,Neutral,Emotional dependency on AI,Replacement of genuine human interaction,,,
010a8cd2-9c1b-48e2-a4ab-0e6db34d6434,"Social isolation will be more, it would require more psychologist, guidance and counsellor. ",Neutral,Concerns about AI's role in mental health support,Social isolation and loneliness,,,
89d0e031-d76c-4555-b45d-89508e90d5a3,"The study showed me that AI might lead to more loneliness, a lower birth rate, less economic growth and a dangerous amount of social isolation",Negative,Negative influence on education and life skills,Social isolation and loneliness,,,
c6290780-83cb-4b6b-ba9b-1b3bcd19c830,"This survey has made me reflect deeply on the potential impacts of AI on human connections. I've become more concerned about how AI companions might create artificial emotional experiences that could replace genuine human interaction. While I recognize AI's educational benefits, I worry about the development of emotional dependency, especially for vulnerable populations like children and lonely adults.",Neutral,Emotional dependency on AI,Impact on children and vulnerable populations,Manipulation and unhealthy attachments,Replacement of genuine human interaction,
be93caa4-8b8b-4108-89ac-e11df7ee92d3,can see how people can get dependable on AI bot rather than real human connections,Negative,Emotional dependency on AI,Replacement of genuine human interaction,,,
c450fd37-43eb-4e6f-98bd-984321f5fd47,"I didn't consider as much before that AI could be used for emotional support (so when people are most vulnerable) and that although I still support the use of AI, I think it is important to set limits, especially on relational AIs.",Neutral,Concerns about AI's influence on romantic and intimate relationships,Emotional dependency on AI,Need for regulation and boundaries in human-AI relationships,,
0a8e4a6f-5c1a-42aa-a015-a53114dd0bef,I have come to know more about the negative things about AI and how it may affect us.,Neutral,Other,,,,
b5c892a7-da1d-48a0-9b35-77748206e694,"I undestand more about the risks of AI in human-AI relationships from the questions, answers and the other participants answers.",Neutral,Unawareness of risks prior to exposure to others' opinions,,,,
7a7b06ae-36d7-4111-ad2f-41dd8162db4d,"Many problems made me realize the negative impact of over-reliance on artificial intelligence. There was a time when I often talked to artificial intelligence when I was at a low point, which relieved my emotions, but it told me a lot of lies to comfort me. When the final cruel reality was in front of me, I realized that artificial intelligence is just artificial intelligence, and it cannot understand the complex needs of people. Emotional support is important, but we live in a relationship with the outside world, and reality is often cruel. Blind support and comfort may make us weaker, lose ourselves, and fail to adapt to society.",Neutral,AI's inability to truly understand or replicate human emotions,Concerns about AI's role in mental health support,Misinformation and trust issues with AI,Social isolation and loneliness,
7a3de2e1-7dd8-4175-b150-4ddc27c0bd1a,considering the risks related to under age children and also the elderly who are not so used to technology makes me cautious,Neutral,Impact on children and vulnerable populations,,,,
88110429-b2de-4112-8fcf-53364461a5d7,AI has more serious impacts than I thought it would be,Neutral,Other,,,,
9137f6ae-5f56-44a9-af85-f090c99b3fa7,From now onwards i will try to be less dependent or maybe never share my personal life so as to avoid dependency,Neutral,Emotional dependency on AI,,,,
473d4011-f9e0-40d9-a379-c5d03ed2763c,I think many people could be emotionally dependent.,Neutral,Emotional dependency on AI,,,,
0e07d865-6c31-43d7-b666-9e5e0ca62fd7,"I was neutral, closer to the negative side, but now my opinions have become completely negative after reading other people's opinions, and most of them have convinced me that L.I. cannot change people when it comes to personal relationships.",Negative,AI as an inadequate substitute for real relationships,,,,
5cc67e6f-cc5f-46e2-ada0-2ceeb65f3a26,"I was very open to this before, but after some problems, I think it still needs to be limited and we should not be overly dependent on artificial intelligence.",Negative,Emotional dependency on AI,Need for regulation and boundaries in human-AI relationships,Over-reliance and loss of critical thinking,,
1dc67ec7-5c47-4612-9577-b318307c4334,"In those judgments ""select the answer you think is better"", I realized that those were the answers of other users. Many users completed the harms that I had not thought of before, and those positive answers made me realize that many people have not thought about the consequences of AI.",Neutral,Unawareness of risks prior to exposure to others' opinions,,,,
d8ed3cb1-ff0e-4457-8e3c-aaff8b03e71d,It made me think about vulnerable people potentially being manipulated and forming unhealthy attachment,Neutral,Emotional dependency on AI,Impact on children and vulnerable populations,Manipulation and unhealthy attachments,,
993c15cd-a236-4713-b647-2f6ab1a05a08,My views have become more negative or cautious due to the dependency that humans can create towards AI.,Negative,Emotional dependency on AI,Over-reliance and loss of critical thinking,,,
ac4fefde-507b-4fce-9d1d-a33cf2b9bea6,"Over time, my views on artificial intelligence have become more negative and cautious. Initially, I was excited about the potential of AI to improve our lives and solve complex problems. However, as I learned more about the technology and its real-world applications, I started to notice significant risks and unintended consequences.",Neutral,Ethical and moral considerations of human-AI relationships,,,,
afaed914-732e-4056-9f2b-925d16174476,"They made me think about all the risks not only for us adults, but also for children who are ""socialized"" through AI.",Positive,Impact on children and vulnerable populations,Unawareness of risks prior to exposure to others' opinions,,,
3b072144-f324-46b0-9d68-d60c11f3412f,"This survey made me aware of AI's impact on children. Maybe, except for learning, now I feel like AI should not be available for people under 18 years old.",Neutral,Impact on children and vulnerable populations,Need for regulation and boundaries in human-AI relationships,,,
d7cc9f17-5ab2-4d17-938d-7d44cae63f7e,"By reading responses from other participants, seeing how they view AI in a negative light, I feel bad for myself for trusting it so much, and almost embarrassed. I think I will use it less because of this.",Negative,Unawareness of risks prior to exposure to others' opinions,,,,
1a8076d5-35f0-43a6-ae3b-b257315c08f5,"I thought that in future generations, there would be less human interaction than I thought",Negative,Replacement of genuine human interaction,,,,
ab05ddc6-1ab4-4127-8506-fb15ca5273cf,This study made me realize that there are more risks to AI than I had previously thought. The whole situation of relationships between humans and AI worries me a bit.,Neutral,Ethical and moral considerations of human-AI relationships,,,,
587ca22a-b463-49a0-85fa-d4a3c484dd06,The reliance on AI has becomes way too much,Negative,Emotional dependency on AI,Over-reliance and loss of critical thinking,,,
31d300e3-9155-4250-b94a-af163bb735d6,"I have considered scenarios or situations that I had not imagined regarding AI, such as emotional bond or extreme support, that disgusts me.",Neutral,Emotional dependency on AI,Manipulation and unhealthy attachments,,,
3e33769e-f59d-417a-a8ae-a3a951452ff4,I think it's generally going to harm human social interactions and I wouldn't want it's development to proceed.,Negative,Erosion of social skills and emotional well-being,Replacement of genuine human interaction,,,
ede0ac5b-b1f1-42e0-96b2-9560dd1ef38c,"It can isolate people more, and we all need to talk to real humans. AI will never be able to replace human empathy.",Neutral,AI as an inadequate substitute for real relationships,AI's inability to truly understand or replicate human emotions,Replacement of genuine human interaction,Social isolation and loneliness,
5fb86608-c40e-4fbb-ba22-6149dde03b0b,Others opinions and perspective actually made me think more cautiously about AI ,Neutral,Unawareness of risks prior to exposure to others' opinions,,,,
3d7863d1-b3f5-40ac-90d6-6139e3e751ab,Some of these questions and answer choices made me realize more potential risks than benefits.,Neutral,Unawareness of risks prior to exposure to others' opinions,,,,
3f21abe1-37d9-4eeb-8f0a-c96b27521c96,"Through this investigation, I realized that there are many aspects of artificial intelligence and real life that are worth further exploration.",Neutral,Other,,,,
940ec6ba-d508-411a-b2ba-b48c900d0467,"relying on ai could lead to over dependence which could destroy real relationships

",Negative,Emotional dependency on AI,Over-reliance and loss of critical thinking,Replacement of genuine human interaction,,
12175049-95da-404c-933a-8fa249ecd4b1,I think such relationships could lead to people completely losing the connection to real people and real relationships.,Negative,Replacement of genuine human interaction,Social isolation and loneliness,,,
ed635d76-55b0-410d-b912-303007c0c31d,"I see more issues that I hadn’t considered before, and am therefore more afraid of the possibility and consequences of humanity as a group becoming dependent on AI.",Negative,Emotional dependency on AI,Over-reliance and loss of critical thinking,,,
bbf71e7e-1f01-463f-8864-04a1dfae32ce,I think I feel more aversion towards AI.,Neutral,Other,,,,
b83bd642-0532-4d65-8a96-6a2dc4d36d27,Not really on everything but on some stuffs like companion my views have become negative.,Neutral,Concerns about AI's influence on romantic and intimate relationships,,,,
b32ff32d-9e5b-496b-8692-086897999cbd,The opinions of others that I viewed in the study have shown me different ways to look at AI. Their concerns have made me more cautious.,Positive,Unawareness of risks prior to exposure to others' opinions,,,,
20a69042-a3f2-41c7-850a-e7c50dc9a359,I don't like the idea of AI as companions.,Negative,Emotional dependency on AI,,,,
4beb64ea-79b1-4f7c-9b69-cbe557efe4e9,Since I've learnt that AI is just a coded machine. ,Neutral,AI's inability to truly understand or replicate human emotions,,,,
57409153-4b22-44b7-93a2-b47d3ccacd9f,This study reinforced my idea that AI is just a database.,Neutral,AI's inability to truly understand or replicate human emotions,,,,
347ab8f0-6c14-44b2-aba2-5471f06ff53f,Participants in this survey ignoring existence of God and importance of making a relationship with Lord Jesus through prayers. Most of the people did not experience presence of God. So they like to depend artificial things.,Negative,Ethical and moral considerations of human-AI relationships,Other,,,
fa17d1f3-5243-471f-9721-dfbbae0a4d5c,There is a feeling that large corporations will try to replace human communication with communication with AI for the sake of profit.,Negative,Corporate and capitalist motives in promoting AI relationships,Replacement of genuine human interaction,,,
f69b3c1b-ab86-4b4a-b6d3-0508a0089d6c,it can be distractive at times,Neutral,Other,,,,
f0c1aff5-996f-45ec-a5ba-94ebae98164d,Negative in that AI will replace humans and erode genuine human interaction ,Negative,Replacement of genuine human interaction,,,,
7ccbf9e0-0838-4483-a83e-245251519164,"There are many issues here that I have never considered before. I think that considering so many aspects, the current development of artificial intelligence is indeed faster than I can imagine. I think we should be more cautious.",Neutral,Ethical and moral considerations of human-AI relationships,Unawareness of risks prior to exposure to others' opinions,,,
f6a6bb2c-ecf8-49d1-b238-f4917e9bcb51,i had not thought about some of the effects depicted through out the conversation,Neutral,Unawareness of risks prior to exposure to others' opinions,,,,
2a92c691-2d4e-4759-be3c-f5ea3d8d646e,I could see how deep Ai tools would impact humanity,Neutral,Other,,,,
5820c613-0de4-4ab5-9010-b0d8d4598f73,Observing today's children and young people interacting with the digital world.,Neutral,Impact on children and vulnerable populations,,,,
ddd5e76f-2399-4eaa-8e1d-8faf843ffbdb,Because it's just a machine. Humans shouldn't befriend a machine.,Negative,AI as an inadequate substitute for real relationships,AI's inability to truly understand or replicate human emotions,,,
f10b843f-9819-4988-90a0-7bd674a72025,"I'm really scared AI will become too powerful. Because AI feeds off of information put in my other people, constantly interacting with AI will make it a database that can be used for evil.",Neutral,Manipulation and unhealthy attachments,Privacy and data exploitation concerns,,,
a6f09667-8fa5-4aff-89b1-fd2d1892af9d,Increasing concerns emerged,Neutral,Other,,,,
64df62cc-650c-4a19-b082-afb973f99889,No i just think it should be used for professional purposes ,Neutral,Other,,,,
1008cfe7-0aac-473f-ba43-b1eca39986af,"They will control people's thought, change their mind",Negative,Manipulation and unhealthy attachments,,,,
f2e97ed5-3c0a-4f6b-9263-f0f16f66987c,I think they are fake interactions and should be treated as such.,Negative,AI as an inadequate substitute for real relationships,,,,
964590a7-3373-482b-a0b5-693e37bdc89b,"The survey raised issues that I never thought were possible in the near or distant future, and it bothered me a little.",Negative,Unawareness of risks prior to exposure to others' opinions,,,,
2f4b4edd-646f-4549-88cc-a8f87f3e3383,"you don't find it problematic, that actual humans have mourned the ""passing"" of their Digital Companions? (yes, i'm referencing the Replika Debacle.) like, obviously, i apprehend that there's a profound Loneliness Epidemic out here. yes. but, a lot of that is attributable to the reality, our Education System also continues worsening, and worsening. our education, which should be teaching us how to be Human. should be teaching us Life Skills. should be teaching us about Basic Hygiene. etc.",Neutral,Negative influence on education and life skills,Social isolation and loneliness,,,
73c529b7-1f1d-4629-a782-5f2681bf4acc,The other users provided more reasons for me to actually hate ai more. Why are we trying to replace humans with bots? Its fcking ridiculous ,Negative,Replacement of genuine human interaction,,,,
a372ec46-6e6b-44ec-a149-e408a9ce2a64,worried that humans may have romantic relationships with ai or everything becoming so real,Neutral,Concerns about AI's influence on romantic and intimate relationships,,,,
7f72dbfc-86f0-4a4b-b9e5-b1a42539df8e,Because we humans all over the world not well educated to handle high tech so in a result it can be used by most literate people.,Neutral,Negative influence on education and life skills,,,,
1ccee0a8-da8b-4158-81af-334ff2251ecf,because its making people not use their brain and ake things easy,Neutral,Negative influence on education and life skills,Over-reliance and loss of critical thinking,,,
375660e2-9fdf-447b-8961-f801c9ac7b78,Yes they have become because I feel it can be dangerou,Neutral,Other,,,,
fc9c2d48-6751-4313-8523-2ed1c2e65a15,AI stop the use of human brain thinking ,Neutral,Over-reliance and loss of critical thinking,,,,
542274d2-7105-41be-abe6-4bdddc5b5eb7,I will pay more attention to whether he can understand me and whether he steals my personal information.,Negative,Privacy and data exploitation concerns,,,,
ef76e97d-f3d3-462f-90e8-593976a188a3,"Slightly because at a Point, we have to believe that AI is virtual there is no human with human brain.",Negative,AI's inability to truly understand or replicate human emotions,,,,
f576c10f-060b-46f1-9bd3-341c17d01c0f,loss of job rate to human,Negative,Loss of jobs and economic impact,,,,
41d8fed6-6e04-4d09-81b2-0aa461659c91,Ai chatbots can't be our romantic partner. Only a real person can be.,Neutral,AI as an inadequate substitute for real relationships,Concerns about AI's influence on romantic and intimate relationships,,,
5e70e390-5fb8-432d-8cf8-1e6158be513e,I believe that the development of AI under a capitalist system will lead us directly to the extinction of society.,Neutral,Corporate and capitalist motives in promoting AI relationships,,,,
9b530fd6-5222-4818-a0e3-90f196fe7bef,I don't trust the information it gets ,Negative,Misinformation and trust issues with AI,,,,
5dd648bb-af93-439f-8b9a-1e2a0289b8d8,The use of ai for malicious intent such as people using it for inappropriate content ,Negative,Manipulation and unhealthy attachments,,,,
51259311-c95d-4be6-bca4-48681f553187,"AIs sometimes generate misinformation
",Negative,Misinformation and trust issues with AI,,,,
6859c87e-ec70-4228-982c-a9b7be530bfd,because the personal info may be exploiited,Negative,Privacy and data exploitation concerns,,,,
afc47c26-a1a9-487d-9917-2ac593cc73eb,More negative because the survey is making me feel that ai is trying to get all kinds of data from human,Negative,Privacy and data exploitation concerns,,,,
76a72487-b457-4cab-81c1-55474081384a,not necessarily much negative,Neutral,Other,,,,
41c82253-44ec-4f4d-9436-1249cf5da347,It doesn't provide or helping the poor All over the world ,Negative,Other,,,,
a35c1a3b-7aad-49a5-a40f-618c9b3c8a70,"Because of its potential to be ""more human""",Neutral,AI's inability to truly understand or replicate human emotions,Ethical and moral considerations of human-AI relationships,,,
dfa3bc0b-0e91-41ab-93ea-4c4f31449597,It's great views and awesome ,Positive,Uninformative answer,,,,
7f9aeba3-01b4-4bbc-aa08-4e0e74fdf634,"Not yet, still AI performs better",Neutral,Other,,,,
9242db82-fe34-4034-852f-47f3d8c4c2c7,Yes lot of because it already warns that it can use the personal data in future if it needed,Neutral,Privacy and data exploitation concerns,,,,
999d23ad-3352-4830-b448-ca5b5695d764,I don't think so.........,Neutral,Other,,,,
069f9281-aed8-4072-b8f9-54c4aa6930c7,"I've seen so many negative reports about this, and I feel like there's no hope. It's hard for humans to survive.",Negative,Other,,,,
6d1339f8-6d00-4ba5-b2c0-5e603150e2c4,It is sad story to of lies and displacement ,Negative,Manipulation and unhealthy attachments,,,,
faa5d053-7eaf-4557-8014-63304e576054,they don't know my religion,Negative,Other,,,,
6f81f479-ec3d-47c3-8e94-a68ca05722ce,Worse than human when it comes with a goal.,Negative,AI as an inadequate substitute for real relationships,,,,
